"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZNF195",0.0668144318503649,-0.660524324567578,0.062,0.24,1
"STOX2",0.0669230631364652,-0.627624270233413,0.125,0.36,1
"SGCB",0.0669454456838524,-0.313521038957851,0,0.16,1
"MOB3A",0.0669768711060645,-0.431856440203727,0,0.16,1
"ZNF555",0.0673969572576651,-0.598422992784429,0.062,0.16,1
"PPP1R13B",0.067491794052671,-0.603471585153935,0.062,0.24,1
"PIGF",0.0675228899965192,0.40551298210271,0.25,0,1
"ZNF135",0.0676100983583933,-0.642327149239379,0.125,0.28,1
"DNAJC1",0.0676594397080133,-0.375247401276078,0,0.16,1
"ZNHIT1",0.0676780153112973,0.589468178778144,0.25,0.04,1
"COP1",0.0676951953972809,-0.349753191944073,0,0.16,1
"PPHLN1",0.0679329375753604,-0.424527955131552,0,0.16,1
"NCAN",0.0685399059952857,-0.272283954618323,0,0.16,1
"IFI16",0.0685762477724082,-0.407773978884609,0,0.16,1
"ALG13",0.0688999948547417,-0.461493380997972,0,0.2,1
"NDUFV3",0.0690066747504482,0.670790990814163,0.438,0.12,1
"ZNHIT6",0.0690619352495953,-0.308763778076321,0,0.16,1
"CDH2",0.0691897071930352,-0.549011177625879,0,0.16,1
"CEP63",0.0694748821761158,-0.572848071647393,0.062,0.2,1
"PIKFYVE",0.0695412825547946,-0.535030920607906,0.188,0.28,1
"GPC2",0.0699601770337,-0.339276122227377,0,0.16,1
"UBE2D3",0.0699783630855853,-0.512579240332456,0.062,0.32,1
"RERE",0.0700862828220327,0.694768967035098,0.562,0.32,1
"NAPB",0.0703001297204218,-0.46478824250003,0.125,0.36,1
"NUMBL",0.0705016356786011,0.534001688788961,0.25,0,1
"CSNK1G1",0.0705022035201516,0.764575367687248,0.25,0,1
"RAB4B",0.0708108484922294,0.312607166273035,0.25,0,1
"NYNRIN",0.0708723101433666,-0.386873324139702,0,0.16,1
"ITPR2",0.0708911863561136,-0.547563222318073,0.062,0.16,1
"EXOSC9",0.0709143531001763,0.545049173473694,0.25,0.04,1
"TPD52L2",0.0710056775004994,-0.416558982601321,0.125,0.28,1
"ARPIN",0.0711091079513698,-0.465804948055654,0,0.16,1
"MAP2K3",0.0713283384908685,-0.436173182649554,0,0.16,1
"BRD2",0.0713740996443676,-0.575286254342583,0.125,0.32,1
